name,id,team,position_id,points_round_1,points_round_2,price_round_1,price_round_2,Man of the match,num_matches,Tackles,Dominant tackles,Line-breaks,Metres carried,Kick 50-22,Lineout steal,Breakdown steal,Try,Assists,Conversion,Penalty,Drop goal,Yellow cards,Red cards ,position,played_round_1,points_to_price_round_1,played_round_2,points_to_price_round_2,latest_price,total_points_to_latest_price_ratio,points_all_rounds,total_points_all_rounds,points_per_round_all_rounds
Manu Tuilagi,138,England,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Tadhg Furlong,67,Ireland,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,False,,False,,0.0,,0.0,0.0,
Bundee Aki,62,Ireland,7,13.6,9.4,14.2,14.4,0.0,2.0,5.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,0.9577464788732395,True,0.6527777777777778,14.4,0.798611111111111,23.0,23.0,11.5
Julien Marchand,110,France,13,25.5,37.8,14.0,14.3,0.0,2.0,32.0,0.0,0.0,56.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,True,1.8214285714285714,True,2.643356643356643,14.3,2.213286713286713,63.3,63.3,31.65
Sebastian Negri,48,Italy,10,27.0,36.6,14.0,14.3,0.0,2.0,13.0,2.0,1.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,1.9285714285714286,True,2.5594405594405596,14.3,2.2237762237762237,63.6,63.6,31.8
Justin Tipuric,4,Wales,10,35.6,0.0,14.6,14.3,0.0,1.0,11.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,2.4383561643835616,False,0.0,14.3,2.4895104895104896,35.6,35.6,35.6
Alex Cuthbert,330,Wales,6,6.6,10.4,14.1,14.1,0.0,2.0,2.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,0.46808510638297873,True,0.7375886524822696,14.1,0.6028368794326241,17.0,17.0,8.5
Mack Hansen,322,Ireland,6,40.8,25.6,14.4,14.1,0.0,2.0,10.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,2.833333333333333,True,1.8156028368794328,14.1,2.3546099290780145,66.4,66.4,33.2
Ken Owens,7,Wales,13,40.6,38.0,13.6,14.1,0.0,2.0,21.0,4.0,0.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,True,2.985294117647059,True,2.6950354609929077,14.1,2.7872340425531914,78.6,78.6,39.3
Max Malins,312,England,6,55.4,34.6,13.9,14.0,0.0,2.0,13.0,1.0,1.0,125.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,3.9856115107913666,True,2.4714285714285715,14.0,3.2142857142857144,90.0,90.0,45.0
